ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
106510014,Devlet,ABDULLAH GÜL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,60,2,62,60,2,62,---,"% 100,0",1,1,"373,67182",---,"447,87037",86.951,---,1,"440,371","88,1"
110410224,Devlet,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,70,2,72,72,---,72,---,"% 100,0",4,4,"277,44489",---,"388,24557",244.841,---,4,"404,785","81,0"
100710648,Devlet,AKDENİZ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",---,---,"387,17640",---,"429,72910",75.115,---,3,"436,495","87,3"
100810523,Devlet,AKSARAY ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,70,2,72,72,---,72,---,"% 100,0",---,---,"276,89847",---,"360,95702",246.403,---,4,"416,338","83,3"
110590041,Devlet,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,70,2,72,70,2,72,---,"% 100,0",2,2,"329,32831",---,"379,45825",137.837,---,2,"413,479","82,7"
110090032,Devlet,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"392,03649",---,"428,30165",71.090,---,---,"443,484","88,7"
101370261,Devlet,ARTVİN ÇORUH ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",---,---,"286,26974",---,"335,59942",220.906,---,2,"398,981","79,8"
101411161,Devlet,ATATÜRK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,81,1,82,---,"% 100,0",---,---,"316,35444",---,"413,75683",158.119,---,2,"413,587","82,7"
101510153,Devlet,BALIKESİR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,93,---,93,---,"% 100,0",---,---,"323,94625",---,"409,18783",145.974,---,2,"429,079","85,8"
102090072,Devlet,BİNGÖL ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,50,2,52,52,---,52,---,"% 100,0",1,1,"277,50185",---,"389,90065",244.688,---,7,"395,963","79,2"
100110406,Devlet,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"326,50839",---,"427,03949",142.036,---,3,"418,341","83,7"
107310322,Devlet,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,60,---,60,12,"% 83,3",1,13,Dolmadı,---,"361,26594",Dolmadı,---,5,"418,553","83,7"
102410189,Devlet,BURSA TEKNİK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",1,1,"362,80119",---,"404,57819",97.648,---,3,"432,478","86,5"
109710348,Devlet,BURSA ULUDAĞ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"394,61312",---,"457,83793",68.969,---,3,"437,881","87,6"
102910349,Devlet,ÇUKUROVA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",---,---,"349,25736",---,"418,70448",112.312,---,6,"431,924","86,4"
103010204,Devlet,DİCLE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,103,---,103,---,"% 100,0",---,---,"295,44553",---,"427,83189",198.929,---,11,"413,861","82,8"
103110424,Devlet,DOKUZ EYLÜL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"408,03893",---,"443,28754",58.602,---,1,"443,490","88,7"
